NAME,NETWORK,Zone,longitude,latitude
Kentish Town,London Underground,2,-0.13914119,51.54978865
Tufnell Park,London Underground,2,-0.136858377,51.5563398
Oval,London Underground,2,-0.110799082,51.48132384
Kennington,London Underground,2,-0.104357247,51.48782707
East Acton,London Underground,2,-0.245569272,51.51609001
Wood Lane,London Underground,2,-0.221994162,51.50963208
Canada Water,London Overground,2,-0.048105945,51.49744864
Shadwell,London Overground,2,-0.055365921,51.51070004
Whitechapel,London Overground,2,-0.05838503,51.51901529
Hoxton,London Overground,2,-0.074056385,51.53093841
Haggerston,London Overground,2,-0.073966769,51.53852752
Dalston Junction,London Overground,2,-0.07344152,51.5448144
New Cross,London Overground,2,-0.030648703,51.47590464
Brockley,London Overground,2,-0.035763775,51.46411871
West Kensington,London Underground,2,-0.203860054,51.49027946
Barons Court,London Underground,2,-0.213088174,51.48978737
Fulham Broadway,London Underground,2,-0.193168686,51.48025536
West Brompton,London Underground,2,-0.193973832,51.48676791
Stamford Brook,London Underground,2,-0.244408726,51.49440814
Stepney Green,London Underground,2,-0.044974603,51.52135166
Whitechapel,London Underground,2,-0.059154123,51.51902202
Bow Road,London Underground,2,-0.02358427,51.52639287
St. John's Wood,London Underground,2,-0.172545248,51.53469852
Canada Water,London Underground,2,-0.048372238,51.49740822
Bermondsey,London Underground,2,-0.062745893,51.49718984
Canary Wharf,London Underground,2,-0.016134819,51.50291749
Bethnal Green,London Overground,2,-0.057862441,51.52350343
Cambridge Heath,London Overground,2,-0.055565622,51.53173049
Clapham High Street,London Overground,2,-0.131145084,51.46503062
Denmark Hill,London Overground,2,-0.088015106,51.46758176
Hackney Downs,London Overground,2,-0.059252378,51.54844772
London Fields,London Overground,2,-0.056359095,51.54052142
Peckham Rye,London Overground,2,-0.067330906,51.46977879
Queens Road Peckham,London Overground,2,-0.055827609,51.47310519
Rectory Road,London Overground,2,-0.066636749,51.55800392
Wandsworth Road,London Overground,2,-0.136926893,51.46943062
Stoke Newington,London Overground,2,-0.070536111,51.56417453
Brondesbury,London Overground,2,-0.200631035,51.5448108
Brondesbury Park,London Overground,2,-0.208495753,51.54030862
Caledonian Road & Barnsbury,London Overground,2,-0.114106929,51.54261531
Camden Road,London Overground,2,-0.137154414,51.54122083
Canonbury,London Overground,2,-0.090522836,51.54817851
Dalston Kingsland,London Overground,2,-0.074035153,51.54783695
Finchley Road & Frognal,London Overground,2,-0.181637018,51.54982406
Gospel Oak,London Overground,2,-0.149494861,51.55486145
Hackney Central,London Overground,2,-0.055208719,51.54652805
Hackney Wick,London Overground,2,-0.021765777,51.54302792
Hampstead Heath,London Overground,2,-0.164099101,51.55475816
Homerton,London Overground,2,-0.040627028,51.54649227
Kensal Green,London Overground,2,-0.223116997,51.53001765
Kensal Rise,London Overground,2,-0.218097094,51.53413249
Kentish Town West,London Overground,2,-0.145240267,51.54596266
Kilburn High Road,London Overground,2,-0.190635722,51.53680577
New Cross Gate,London Overground,2,-0.038716887,51.47449297
ALL SAINTS - DLR,DLR,2,-0.011456278,51.51051157
BLACKWALL - DLR,DLR,2,-0.005550544,51.50745237
BOW CHURCH - DLR,DLR,2,-0.01918061,51.52715522
CANARY WHARF - DLR,DLR,2,-0.019337121,51.50461022
CROSSHARBOUR - DLR,DLR,2,-0.012863868,51.49538997
CUTTY SARK - DLR,DLR,2,-0.009463903,51.48115778
DEPTFORD BRIDGE - DLR,DLR,2,-0.020845808,51.47378671
DEVONS ROAD - DLR,DLR,2,-0.015859691,51.52195436
ELVERSON ROAD - DLR,DLR,2,-0.014766759,51.46817948
HERON QUAYS - DLR,DLR,2,-0.019832666,51.50281981
ISLAND GARDENS - DLR,DLR,2,-0.008883221,51.48754261
LANGDON PARK - DLR,DLR,2,-0.012505001,51.51456754
LEWISHAM - DLR,DLR,2,-0.012465383,51.46513641
LIMEHOUSE - DLR,DLR,2,-0.038095069,51.51179704
MUDCHUTE - DLR,DLR,2,-0.013413578,51.49037168
POPLAR - DLR,DLR,2,-0.015607274,51.50720026
SHADWELL - DLR,DLR,2,-0.05512963,51.51118155
SOUTH QUAY - DLR,DLR,2,-0.017414424,51.50009877
WEST INDIA QUAY - DLR,DLR,2,-0.018586106,51.50697183
WESTFERRY - DLR,DLR,2,-0.025301528,51.50899182
South Hampstead,London Overground,2,-0.177570816,51.54111829
Surrey Quays,London Overground,2,-0.046055836,51.49282777
Upper Holloway,London Overground,2,-0.127532858,51.56303879
Wapping,London Overground,2,-0.054345515,51.50386599
West Hampstead,London Overground,2,-0.188759559,51.54628297
Shepherds Bush,London Overground,2,-0.217219888,51.50417089
Kensington Olympia,London Overground,2,-0.208397635,51.49726439
Westompton,London Overground,2,-0.193747112,51.48661615
Clapham Junction,London Overground,2,-0.16856542,51.4629141
Imperial Wharf,London Overground,2,-0.181347614,51.47457995
